来源,战队,简称,地区,队伍评分,稳定度,阵容位置,游戏 ID,真实姓名,国籍,年龄,位置,Rating,Team HLTV ID,Player HLTV ID
职业,Natus Vincere,NAVI,Europe,1894,0.8,首发,jL,Justinas Lekavicius,Lithuania,24,Entry,1.13,4608,19206
职业,Natus Vincere,NAVI,Europe,1894,0.8,首发,b1t,Valeriy Vakhovskiy,Ukraine,24,Rifler,1.14,4608,18987
职业,Natus Vincere,NAVI,Europe,1894,0.8,首发,iM,Mihai Ivan,Romania,24,Support,1.09,4608,14759
职业,MOUZ,MOUZ,Europe,1904,0.84,首发,Brollan,Ludvig Brolin,Sweden,24,IGL,1.10,4494,13666
职业,MOUZ,MOUZ,Europe,1904,0.84,首发,torzsi,Adam Torzsas,Hungary,24,AWPer,1.13,4494,18072
职业,MOUZ,MOUZ,Europe,1904,0.84,首发,Spinx,Lotan Giladi,Israel,24,Entry,1.14,4494,
职业,MOUZ,MOUZ,Europe,1904,0.84,首发,Jimpphat,Jimi Salo,Finland,24,Rifler,1.12,4494,18850
职业,MOUZ,MOUZ,Europe,1904,0.84,首发,xertioN,Dorian Berman,Israel,24,Support,1.11,4494,20312
职业,FURIA,FUR,Americas,1904,0.66,首发,FalleN,Gabriel Toledo,Brazil,24,IGL,1.05,8297,2023
职业,FURIA,FUR,Americas,1904,0.66,首发,molodoy,Danil Golubenko,Kazakhstan,24,AWPer,1.18,8297,24144
职业,FURIA,FUR,Americas,1904,0.66,首发,YEKINDAR,Mareks Galinskis,Latvia,24,Entry,1.10,8297,13915
职业,FURIA,FUR,Americas,1904,0.66,首发,KSCERATO,Kaike Cerato,Brazil,24,Rifler,1.17,8297,15631
职业,FURIA,FUR,Americas,1904,0.66,首发,yuurih,Yuri Santos,Brazil,24,Support,1.10,8297,12553
职业,The MongolZ,MGLZ,Asia,1896,0.71,首发,bLitz,Garidmagnai Byambasuren,Mongolia,24,IGL,1.10,6248,17372
职业,The MongolZ,MGLZ,Asia,1896,0.71,首发,910,Usukhbayar Banzragch,Mongolia,24,AWPer,1.13,6248,21809
职业,The MongolZ,MGLZ,Asia,1896,0.71,首发,Senzu,Azbayar Munkhbold,Mongolia,24,Entry,1.15,6248,21118
职业,The MongolZ,MGLZ,Asia,1896,0.71,首发,Techno,Sodbayar Munkhbold,Mongolia,24,Rifler,1.09,6248,20990
职业,The MongolZ,MGLZ,Asia,1896,0.71,首发,mzinho,Ayush Batbold,Mongolia,24,Support,1.07,6248,20989
职业,Aurora Gaming,AUR,Europe,1886,0.75,首发,MAJ3R,Engin Kupeli,Türkiye,24,IGL,1.01,11861,692
职业,Aurora Gaming,AUR,Europe,1886,0.75,首发,woxic,Ozgur Eker,Türkiye,24,AWPer,1.12,11861,8574
职业,Aurora Gaming,AUR,Europe,1886,0.75,首发,XANTARES,Ismailcan Dortkardes,Türkiye,24,Entry,1.16,11861,7938
职业,Aurora Gaming,AUR,Europe,1886,0.75,首发,Wicadia,Ali Haydar Yalcin,Türkiye,24,Rifler,1.10,11861,19422
职业,Aurora Gaming,AUR,Europe,1886,0.75,首发,jottAAA,Samet Koklu,Türkiye,24,Support,1.08,11861,22294
职业,G2 Esports,G2,Europe,1897,0.8,首发,huNter-,Nemanja Kovac,Bosnia and Herzegovina,24,IGL,1.07,5995,3972
职业,G2 Esports,G2,Europe,1897,0.8,首发,SunPayus,Alvaro Garcia,Spain,24,AWPer,1.13,5995,19164
职业,G2 Esports,G2,Europe,1897,0.8,首发,malbsMd,Mario Samayoa,Guatemala,24,Entry,1.12,5995,21445
职业,G2 Esports,G2,Europe,1897,0.8,首发,MATYS,Matyas Oravec,Slovakia,24,Rifler,1.12,5995,19610
职业,G2 Esports,G2,Europe,1897,0.8,首发,HeavyGod,Nikita Martynenko,Israel,24,Support,1.11,5995,20447
职业,Astralis,AST,Europe,1879,0.84,首发,HooXi,Rasmus Nielsen,Denmark,24,IGL,0.97,6665,10096
职业,Astralis,AST,Europe,1879,0.84,首发,device,Nicolai Reedtz,Denmark,24,AWPer,1.15,6665,7592
职业,Astralis,AST,Europe,1879,0.84,首发,stavn,Martin Lund,Denmark,24,Entry,1.11,6665,10994
职业,Astralis,AST,Europe,1879,0.84,首发,jabbi,Jakob Nygaard,Denmark,24,Rifler,1.11,6665,17956
职业,Astralis,AST,Europe,1879,0.84,首发,Staehr,Victor Staehr,Denmark,24,Support,1.08,6665,20304
职业,Team Liquid,TL,Americas,1890,0.66,首发,Twistzz,Russel Van Dulken,Canada,24,IGL,1.11,5973,10394
职业,Team Liquid,TL,Americas,1890,0.66,首发,ultimate,Roland Tomkowiak,Poland,24,AWPer,1.09,5973,19258
职业,Team Liquid,TL,Americas,1890,0.66,首发,NertZ,Guy Iluz,Israel,24,Entry,1.13,5973,15739
职业,Team Liquid,TL,Americas,1890,0.66,首发,NAF,Keith Markovic,Canada,24,Rifler,1.14,5973,8520
职业,Team Liquid,TL,Americas,1890,0.66,首发,siuhy,Kamil Szkaradek,Poland,24,Support,1.03,5973,16820
职业,FaZe Clan,FAZE,Europe,1868,0.71,首发,karrigan,Finn Andersen,Denmark,24,IGL,0.94,6667,429
职业,FaZe Clan,FAZE,Europe,1868,0.71,首发,broky,Helvijs Saukants,Latvia,24,AWPer,1.11,6667,18053
职业,FaZe Clan,FAZE,Europe,1868,0.71,首发,rain,Havard Nygaard,Norway,24,Entry,1.06,6667,8183
职业,FaZe Clan,FAZE,Europe,1868,0.71,首发,frozen,David Cernansky,Slovakia,24,Rifler,1.17,6667,9960
职业,FaZe Clan,FAZE,Europe,1868,0.71,首发,jcobbb,Jakub Pietruszewski,Poland,24,Support,1.06,6667,21938
职业,TYLOO,TYL,Asia,1880,0.75,首发,Attacker,YuanZhang Sheng,China,24,IGL,1.04,4863,8552
职业,TYLOO,TYL,Asia,1880,0.75,首发,Jee,Yi Yang,China,24,AWPer,1.08,4863,18221
职业,TYLOO,TYL,Asia,1880,0.75,首发,Mercury,BingYuan Wang,China,24,Entry,1.09,4863,18145
职业,TYLOO,TYL,Asia,1880,0.75,首发,JamYoung,Yi Yang,China,24,Rifler,1.12,4863,19692
职业,TYLOO,TYL,Asia,1880,0.75,首发,Moseyuh,Chen Qianhao,China,24,Support,1.10,4863,20090
职业,Lynn Vision Gaming,LVG,Asia,1875,0.8,首发,westmelon,Zhe Niu,China,24,IGL,1.06,8840,17427
职业,Lynn Vision Gaming,LVG,Asia,1875,0.8,首发,z4kr,Dehao Mao,China,24,AWPer,1.09,8840,17932
职业,Lynn Vision Gaming,LVG,Asia,1875,0.8,首发,EmiliaQAQ,Wenyu Tang,China,24,Entry,1.07,8840,21692
职业,Lynn Vision Gaming,LVG,Asia,1875,0.8,首发,Starry,Lizhi Ye,China,24,Rifler,1.12,8840,17645
职业,Lynn Vision Gaming,LVG,Asia,1875,0.8,首发,flying,Peiqi Song,China,24,Support,1.05,8840,20580
职业,BIG,BIG,Europe,1873,0.84,首发,tabseN,Johannes Wodarz,Germany,24,IGL,1.04,7532,5794
职业,BIG,BIG,Europe,1873,0.84,首发,syrsoN,Florian Rische,Germany,24,AWPer,1.11,7532,7266
职业,BIG,BIG,Europe,1873,0.84,首发,prosus,David Hesse,Germany,24,Entry,1.04,7532,19148
职业,BIG,BIG,Europe,1873,0.84,首发,Krimbo,Karim Moussa,Germany,24,Rifler,1.12,7532,19899
职业,BIG,BIG,Europe,1873,0.84,首发,JDC,Jon de Castro,Germany,24,Support,1.07,7532,19198
职业,paiN Gaming,PNG,Americas,1883,0.66,首发,biguzera,Rodrigo Bittencourt,Brazil,24,IGL,1.12,4773,18141
职业,paiN Gaming,PNG,Americas,1883,0.66,首发,nqz,Lucas Soares,Brazil,24,AWPer,1.10,4773,19630
职业,paiN Gaming,PNG,Americas,1883,0.66,首发,snow,Joao Vinicius,Brazil,24,Entry,1.09,4773,22047
职业,paiN Gaming,PNG,Americas,1883,0.66,首发,dav1deuS,David Tapia,Chile,24,Rifler,1.08,4773,17798
职业,paiN Gaming,PNG,Americas,1883,0.66,首发,kauez,Kaue Kaschuk,Brazil,24,Support,1.06,4773,20698
