战队,简称,语言,地区,队伍评分,稳定度,游戏 ID,真实姓名,国籍,年龄,位置,Rating
逐日俱乐部,逐日,中文,Asia,1586,0.65,秦远,叶鸣远,中国,23,Rifler,1.24
逐日俱乐部,逐日,中文,Asia,1586,0.65,韩川,宋墨岳,中国,23,Support,0.93
青锋竞技,青锋,中文,Asia,1632,0.7,程寒,林寒澈,中国,30,IGL,1.13
青锋竞技,青锋,中文,Asia,1632,0.7,宋辰,唐曜烬,中国,30,AWPer,1.21
青锋竞技,青锋,中文,Asia,1632,0.7,魏野,魏鸣远,中国,26,Entry,1.14
青锋竞技,青锋,中文,Asia,1632,0.7,陶烬,周墨岳,中国,21,Rifler,0.97
青锋竞技,青锋,中文,Asia,1632,0.7,白星,苏寒澈,中国,17,Support,1.18
磐石战队,磐石,中文,Asia,1612,0.76,邵墨,陶曜烬,中国,28,IGL,1.17
磐石战队,磐石,中文,Asia,1612,0.76,罗衡,沈鸣远,中国,23,AWPer,0.89
磐石战队,磐石,中文,Asia,1612,0.76,林舟,秦墨岳,中国,21,Entry,1.04
磐石战队,磐石,中文,Asia,1612,0.76,周澈,白寒澈,中国,17,Rifler,1.20
磐石战队,磐石,中文,Asia,1612,0.76,沈锋,陆曜烬,中国,18,Support,1.18
龙渊电子竞技,龙渊,中文,Asia,1593,0.81,顾鸣,韩鸣远,中国,30,IGL,1.23
龙渊电子竞技,龙渊,中文,Asia,1593,0.81,江凛,夏墨岳,中国,25,AWPer,0.95
龙渊电子竞技,龙渊,中文,Asia,1593,0.81,叶霄,顾寒澈,中国,20,Entry,1.23
龙渊电子竞技,龙渊,中文,Asia,1593,0.81,唐岳,许曜烬,中国,17,Rifler,0.96
龙渊电子竞技,龙渊,中文,Asia,1593,0.81,苏岚,邵鸣远,中国,19,Support,0.96
北斗俱乐部,北斗,中文,Asia,1544,0.86,韩曜,江墨岳,中国,23,IGL,0.93
北斗俱乐部,北斗,中文,Asia,1544,0.86,许策,程寒澈,中国,23,AWPer,0.91
北斗俱乐部,北斗,中文,Asia,1544,0.86,程尘,罗曜烬,中国,21,Entry,1.02
北斗俱乐部,北斗,中文,Asia,1544,0.86,宋远,叶鸣远,中国,21,Rifler,1.18
北斗俱乐部,北斗,中文,Asia,1544,0.86,魏川,宋墨岳,中国,19,Support,0.91
烽火竞技,烽火,中文,Asia,1605,0.48,白寒,林寒澈,中国,27,IGL,1.20
烽火竞技,烽火,中文,Asia,1605,0.48,夏辰,唐曜烬,中国,21,AWPer,1.02
烽火竞技,烽火,中文,Asia,1605,0.48,邵野,魏鸣远,中国,17,Entry,0.91
烽火竞技,烽火,中文,Asia,1605,0.48,罗烬,周墨岳,中国,28,Rifler,1.17
烽火竞技,烽火,中文,Asia,1605,0.48,林星,苏寒澈,中国,24,Support,1.12
云海战队,云海,中文,Asia,1598,0.54,沈墨,陶曜烬,中国,30,IGL,1.22
云海战队,云海,中文,Asia,1598,0.54,陆衡,沈鸣远,中国,24,AWPer,0.98
云海战队,云海,中文,Asia,1598,0.54,顾舟,秦墨岳,中国,19,Entry,1.22
云海战队,云海,中文,Asia,1598,0.54,江澈,白寒澈,中国,25,Rifler,1.01
云海战队,云海,中文,Asia,1598,0.54,叶锋,陆曜烬,中国,19,Support,0.94
金乌电子竞技,金乌,中文,Asia,1625,0.59,苏鸣,韩鸣远,中国,20,IGL,1.20
金乌电子竞技,金乌,中文,Asia,1625,0.59,秦凛,夏墨岳,中国,22,AWPer,1.12
金乌电子竞技,金乌,中文,Asia,1625,0.59,韩霄,顾寒澈,中国,24,Entry,1.09
金乌电子竞技,金乌,中文,Asia,1625,0.59,许岳,许曜烬,中国,30,Rifler,1.06
金乌电子竞技,金乌,中文,Asia,1625,0.59,程岚,邵鸣远,中国,17,Support,1.11
雷池俱乐部,雷池,中文,Asia,1615,0.65,魏曜,江墨岳,中国,20,IGL,0.95
雷池俱乐部,雷池,中文,Asia,1615,0.65,陶策,程寒澈,中国,28,AWPer,1.17
雷池俱乐部,雷池,中文,Asia,1615,0.65,白尘,罗曜烬,中国,22,Entry,1.14
雷池俱乐部,雷池,中文,Asia,1615,0.65,夏远,叶鸣远,中国,23,Rifler,1.09
雷池俱乐部,雷池,中文,Asia,1615,0.65,邵川,宋墨岳,中国,20,Support,1.15
千帆竞技,千帆,中文,Asia,1546,0.7,周寒,林寒澈,中国,18,IGL,1.17
千帆竞技,千帆,中文,Asia,1546,0.7,沈寒,唐曜烬,中国,22,AWPer,1.06
千帆竞技,千帆,中文,Asia,1546,0.7,陆寒,魏鸣远,中国,30,Entry,0.89
千帆竞技,千帆,中文,Asia,1546,0.7,江寒,周墨岳,中国,21,Rifler,0.89
千帆竞技,千帆,中文,Asia,1546,0.7,叶寒,苏寒澈,中国,21,Support,0.96
银翼战队,银翼,中文,Asia,1645,0.76,唐寒,陶曜烬,中国,29,IGL,1.18
银翼战队,银翼,中文,Asia,1645,0.76,秦寒,沈鸣远,中国,19,AWPer,1.05
银翼战队,银翼,中文,Asia,1645,0.76,韩寒,秦墨岳,中国,24,Entry,1.19
银翼战队,银翼,中文,Asia,1645,0.76,许寒,白寒澈,中国,18,Rifler,1.23
银翼战队,银翼,中文,Asia,1645,0.76,宋寒,陆曜烬,中国,22,Support,1.08
山海电子竞技,山海,中文,Asia,1620,0.81,魏寒,韩鸣远,中国,22,IGL,1.20
山海电子竞技,山海,中文,Asia,1620,0.81,陶寒,夏墨岳,中国,28,AWPer,1.16
山海电子竞技,山海,中文,Asia,1620,0.81,夏寒,顾寒澈,中国,23,Entry,1.15
山海电子竞技,山海,中文,Asia,1620,0.81,邵寒,许曜烬,中国,25,Rifler,1.01
山海电子竞技,山海,中文,Asia,1620,0.81,罗寒,邵鸣远,中国,28,Support,1.02
无界俱乐部,无界,中文,Asia,1640,0.86,林川,江墨岳,中国,24,IGL,1.15
无界俱乐部,无界,中文,Asia,1640,0.86,周川,程寒澈,中国,24,AWPer,1.14
无界俱乐部,无界,中文,Asia,1640,0.86,陆川,罗曜烬,中国,28,Entry,1.13
无界俱乐部,无界,中文,Asia,1640,0.86,顾川,叶鸣远,中国,23,Rifler,1.20
无界俱乐部,无界,中文,Asia,1640,0.86,江川,宋墨岳,中国,24,Support,1.07
曜石竞技,曜石,中文,Asia,1625,0.48,唐川,林寒澈,中国,20,IGL,1.22
曜石竞技,曜石,中文,Asia,1625,0.48,苏川,唐曜烬,中国,28,AWPer,1.07
曜石竞技,曜石,中文,Asia,1625,0.48,秦川,魏鸣远,中国,20,Entry,1.24
曜石竞技,曜石,中文,Asia,1625,0.48,许川,周墨岳,中国,19,Rifler,0.99
曜石竞技,曜石,中文,Asia,1625,0.48,程川,苏寒澈,中国,22,Support,1.06
Northwind,N,英文,Americas,1593,0.54,Apex6,Felix Pierce,United States,24,IGL,1.04
Northwind,N,英文,Americas,1593,0.54,Bolt6,Gavin Turner,Canada,29,AWPer,1.19
Northwind,N,英文,Americas,1593,0.54,Cipher6,Hayden Bennett,United Kingdom,30,Entry,1.00
Northwind,N,英文,Americas,1593,0.54,Drift6,Isaac Ellis,Australia,25,Rifler,1.20
Northwind,N,英文,Americas,1593,0.54,Ember6,Jonah Hayes,Sweden,21,Support,0.90
Iron Harbor,IH,英文,Oceania,1550,0.59,Flux6,Kai Keller,United States,23,IGL,0.95
Iron Harbor,IH,英文,Oceania,1550,0.59,Ghost6,Liam Nash,Canada,22,AWPer,0.95
Iron Harbor,IH,英文,Oceania,1550,0.59,Havoc6,Mason Reeves,United Kingdom,30,Entry,1.05
Iron Harbor,IH,英文,Oceania,1550,0.59,Ion6,Nolan Walker,Australia,23,Rifler,0.93
Iron Harbor,IH,英文,Oceania,1550,0.59,Jolt6,Owen Carter,Sweden,31,Support,1.12
Crimson Vale,CV,英文,Europe,1610,0.65,Knox6,Parker Foster,United States,19,IGL,1.07
Crimson Vale,CV,英文,Europe,1610,0.65,Lumen6,Quinn Irwin,Canada,18,AWPer,1.07
Crimson Vale,CV,英文,Europe,1610,0.65,Mako6,Reid Lawson,United Kingdom,29,Entry,1.15
Crimson Vale,CV,英文,Europe,1610,0.65,Nova6,Silas Ortega,Australia,27,Rifler,1.11
Crimson Vale,CV,英文,Europe,1610,0.65,Onyx6,Theo Sawyer,Sweden,26,Support,1.06
Silent Circuit,SC,英文,Americas,1606,0.7,Pulse6,Alden Archer,United States,24,IGL,1.19
Silent Circuit,SC,英文,Americas,1606,0.7,Quest6,Blake Dalton,Canada,28,AWPer,0.90
Silent Circuit,SC,英文,Americas,1606,0.7,Rift6,Caleb Griffin,United Kingdom,17,Entry,1.00
Silent Circuit,SC,英文,Americas,1606,0.7,Shade6,Damon Jensen,Australia,25,Rifler,1.15
Silent Circuit,SC,英文,Americas,1606,0.7,Trace6,Elias Mercer,Sweden,25,Support,1.19
Solar Crown,SC,英文,Oceania,1627,0.76,Vex6,Felix Pierce,United States,23,IGL,1.23
Solar Crown,SC,英文,Oceania,1627,0.76,Warden6,Gavin Turner,Canada,31,AWPer,1.17
Solar Crown,SC,英文,Oceania,1627,0.76,Xeno6,Hayden Bennett,United Kingdom,30,Entry,1.12
Solar Crown,SC,英文,Oceania,1627,0.76,Yield6,Isaac Ellis,Australia,20,Rifler,1.16
Solar Crown,SC,英文,Oceania,1627,0.76,Zenith6,Jonah Hayes,Sweden,25,Support,0.91
Glass Horizon,GH,英文,Europe,1606,0.81,Apex7,Kai Keller,United States,25,IGL,1.19
Glass Horizon,GH,英文,Europe,1606,0.81,Bolt7,Liam Nash,Canada,29,AWPer,1.12
Glass Horizon,GH,英文,Europe,1606,0.81,Cipher7,Mason Reeves,United Kingdom,31,Entry,1.01
Glass Horizon,GH,英文,Europe,1606,0.81,Drift7,Nolan Walker,Australia,31,Rifler,1.00
Glass Horizon,GH,英文,Europe,1606,0.81,Ember7,Owen Carter,Sweden,26,Support,1.11
Wild Meridian,WM,英文,Americas,1560,0.86,Flux7,Parker Foster,United States,25,IGL,1.09
Wild Meridian,WM,英文,Americas,1560,0.86,Ghost7,Quinn Irwin,Canada,31,AWPer,0.89
Wild Meridian,WM,英文,Americas,1560,0.86,Havoc7,Reid Lawson,United Kingdom,20,Entry,1.14
Wild Meridian,WM,英文,Americas,1560,0.86,Ion7,Silas Ortega,Australia,19,Rifler,1.06
Wild Meridian,WM,英文,Americas,1560,0.86,Jolt7,Theo Sawyer,Sweden,31,Support,0.90
Black Summit,BS,英文,Oceania,1571,0.48,Knox7,Alden Archer,United States,24,IGL,1.09
Black Summit,BS,英文,Oceania,1571,0.48,Lumen7,Blake Dalton,Canada,31,AWPer,0.92
Black Summit,BS,英文,Oceania,1571,0.48,Mako7,Caleb Griffin,United Kingdom,17,Entry,1.23
Black Summit,BS,英文,Oceania,1571,0.48,Nova7,Damon Jensen,Australia,29,Rifler,1.01
Black Summit,BS,英文,Oceania,1571,0.48,Onyx7,Elias Mercer,Sweden,22,Support,0.91
Neon Forge,NF,英文,Europe,1581,0.54,Pulse7,Felix Pierce,United States,18,IGL,1.24
Neon Forge,NF,英文,Europe,1581,0.54,Quest7,Gavin Turner,Canada,19,AWPer,0.95
Neon Forge,NF,英文,Europe,1581,0.54,Rift7,Hayden Bennett,United Kingdom,22,Entry,1.01
Neon Forge,NF,英文,Europe,1581,0.54,Shade7,Isaac Ellis,Australia,25,Rifler,1.04
Neon Forge,NF,英文,Europe,1581,0.54,Trace7,Jonah Hayes,Sweden,23,Support,1.00
Cold Frontier,CF,英文,Americas,1618,0.59,Vex7,Kai Keller,United States,22,IGL,1.08
Cold Frontier,CF,英文,Americas,1618,0.59,Warden7,Liam Nash,Canada,26,AWPer,1.21
Cold Frontier,CF,英文,Americas,1618,0.59,Xeno7,Mason Reeves,United Kingdom,22,Entry,1.19
Cold Frontier,CF,英文,Americas,1618,0.59,Yield7,Nolan Walker,Australia,30,Rifler,0.97
Cold Frontier,CF,英文,Americas,1618,0.59,Zenith7,Owen Carter,Sweden,27,Support,1.07
Rapid Echo,RE,英文,Oceania,1572,0.65,Apex8,Parker Foster,United States,18,IGL,1.10
Rapid Echo,RE,英文,Oceania,1572,0.65,Bolt8,Quinn Irwin,Canada,28,AWPer,1.01
Rapid Echo,RE,英文,Oceania,1572,0.65,Cipher8,Reid Lawson,United Kingdom,31,Entry,1.04
Rapid Echo,RE,英文,Oceania,1572,0.65,Drift8,Silas Ortega,Australia,23,Rifler,1.05
Rapid Echo,RE,英文,Oceania,1572,0.65,Ember8,Theo Sawyer,Sweden,20,Support,0.97
Silver Current,SC,英文,Europe,1585,0.7,Flux8,Alden Archer,United States,17,IGL,0.95
Silver Current,SC,英文,Europe,1585,0.7,Ghost8,Blake Dalton,Canada,28,AWPer,0.99
Silver Current,SC,英文,Europe,1585,0.7,Havoc8,Caleb Griffin,United Kingdom,30,Entry,1.01
Silver Current,SC,英文,Europe,1585,0.7,Ion8,Damon Jensen,Australia,28,Rifler,1.16
Silver Current,SC,英文,Europe,1585,0.7,Jolt8,Elias Mercer,Sweden,28,Support,1.16
Last Beacon,LB,英文,Americas,1583,0.76,Knox8,Felix Pierce,United States,18,IGL,1.20
Last Beacon,LB,英文,Americas,1583,0.76,Lumen8,Gavin Turner,Canada,28,AWPer,1.01
Last Beacon,LB,英文,Americas,1583,0.76,Mako8,Hayden Bennett,United Kingdom,19,Entry,1.00
Last Beacon,LB,英文,Americas,1583,0.76,Nova8,Isaac Ellis,Australia,25,Rifler,0.99
Last Beacon,LB,英文,Americas,1583,0.76,Onyx8,Jonah Hayes,Sweden,26,Support,1.05
Zero Gravity,ZG,英文,Oceania,1531,0.81,Pulse8,Kai Keller,United States,18,IGL,0.92
Zero Gravity,ZG,英文,Oceania,1531,0.81,Quest8,Liam Nash,Canada,20,AWPer,1.00
Zero Gravity,ZG,英文,Oceania,1531,0.81,Rift8,Mason Reeves,United Kingdom,20,Entry,0.94
Zero Gravity,ZG,英文,Oceania,1531,0.81,Shade8,Nolan Walker,Australia,28,Rifler,1.00
Zero Gravity,ZG,英文,Oceania,1531,0.81,Trace8,Owen Carter,Sweden,30,Support,0.99
Bright Ruin,BR,英文,Europe,1580,0.86,Vex8,Parker Foster,United States,20,IGL,1.12
Bright Ruin,BR,英文,Europe,1580,0.86,Warden8,Quinn Irwin,Canada,19,AWPer,0.92
Bright Ruin,BR,英文,Europe,1580,0.86,Xeno8,Reid Lawson,United Kingdom,31,Entry,1.02
Bright Ruin,BR,英文,Europe,1580,0.86,Yield8,Silas Ortega,Australia,29,Rifler,1.18
Bright Ruin,BR,英文,Europe,1580,0.86,Zenith8,Theo Sawyer,Sweden,31,Support,0.99
Royal Static,RS,英文,Americas,1553,0.48,Apex9,Alden Archer,United States,21,IGL,0.91
Royal Static,RS,英文,Americas,1553,0.48,Bolt9,Blake Dalton,Canada,27,AWPer,1.13
Royal Static,RS,英文,Americas,1553,0.48,Cipher9,Caleb Griffin,United Kingdom,22,Entry,0.89
Royal Static,RS,英文,Americas,1553,0.48,Drift9,Damon Jensen,Australia,21,Rifler,1.00
Royal Static,RS,英文,Americas,1553,0.48,Ember9,Elias Mercer,Sweden,18,Support,1.09
Hidden Vector,HV,英文,Oceania,1622,0.54,Flux9,Felix Pierce,United States,25,IGL,1.18
Hidden Vector,HV,英文,Oceania,1622,0.54,Ghost9,Gavin Turner,Canada,31,AWPer,1.14
Hidden Vector,HV,英文,Oceania,1622,0.54,Havoc9,Hayden Bennett,United Kingdom,26,Entry,1.11
Hidden Vector,HV,英文,Oceania,1622,0.54,Ion9,Isaac Ellis,Australia,19,Rifler,1.18
Hidden Vector,HV,英文,Oceania,1622,0.54,Jolt9,Jonah Hayes,Sweden,17,Support,0.94
Prime Orbit,PO,英文,Europe,1541,0.59,Knox9,Kai Keller,United States,26,IGL,0.90
Prime Orbit,PO,英文,Europe,1541,0.59,Lumen9,Liam Nash,Canada,19,AWPer,0.89
Prime Orbit,PO,英文,Europe,1541,0.59,Mako9,Mason Reeves,United Kingdom,21,Entry,1.17
Prime Orbit,PO,英文,Europe,1541,0.59,Nova9,Nolan Walker,Australia,23,Rifler,0.95
Prime Orbit,PO,英文,Europe,1541,0.59,Onyx9,Owen Carter,Sweden,29,Support,1.02
Ashen Tide,AT,英文,Americas,1572,0.65,Pulse9,Parker Foster,United States,27,IGL,1.06
Ashen Tide,AT,英文,Americas,1572,0.65,Quest9,Quinn Irwin,Canada,17,AWPer,1.09
Ashen Tide,AT,英文,Americas,1572,0.65,Rift9,Reid Lawson,United Kingdom,21,Entry,1.01
Ashen Tide,AT,英文,Americas,1572,0.65,Shade9,Silas Ortega,Australia,24,Rifler,0.96
Ashen Tide,AT,英文,Americas,1572,0.65,Trace9,Theo Sawyer,Sweden,26,Support,1.05
Golden Relay,GR,英文,Oceania,1592,0.7,Vex9,Alden Archer,United States,22,IGL,1.18
Golden Relay,GR,英文,Oceania,1592,0.7,Warden9,Blake Dalton,Canada,18,AWPer,1.16
Golden Relay,GR,英文,Oceania,1592,0.7,Xeno9,Caleb Griffin,United Kingdom,18,Entry,0.97
Golden Relay,GR,英文,Oceania,1592,0.7,Yield9,Damon Jensen,Australia,19,Rifler,1.02
Golden Relay,GR,英文,Oceania,1592,0.7,Zenith9,Elias Mercer,Sweden,27,Support,0.99
Night Signal,NS,英文,Europe,1605,0.76,Apex10,Felix Pierce,United States,17,IGL,0.95
Night Signal,NS,英文,Europe,1605,0.76,Bolt10,Gavin Turner,Canada,21,AWPer,1.09
Night Signal,NS,英文,Europe,1605,0.76,Cipher10,Hayden Bennett,United Kingdom,20,Entry,1.21
Night Signal,NS,英文,Europe,1605,0.76,Drift10,Isaac Ellis,Australia,17,Rifler,1.04
Night Signal,NS,英文,Europe,1605,0.76,Ember10,Jonah Hayes,Sweden,26,Support,1.13
Open Season,OS,英文,Americas,1609,0.81,Flux10,Kai Keller,United States,20,IGL,1.22
Open Season,OS,英文,Americas,1609,0.81,Ghost10,Liam Nash,Canada,21,AWPer,1.18
Open Season,OS,英文,Americas,1609,0.81,Havoc10,Mason Reeves,United Kingdom,29,Entry,1.07
Open Season,OS,英文,Americas,1609,0.81,Ion10,Nolan Walker,Australia,25,Rifler,0.98
Open Season,OS,英文,Americas,1609,0.81,Jolt10,Owen Carter,Sweden,21,Support,1.00
Steel Bloom,SB,英文,Oceania,1547,0.86,Knox10,Parker Foster,United States,28,IGL,1.12
Steel Bloom,SB,英文,Oceania,1547,0.86,Lumen10,Quinn Irwin,Canada,20,AWPer,0.99
Steel Bloom,SB,英文,Oceania,1547,0.86,Mako10,Reid Lawson,United Kingdom,23,Entry,0.92
Steel Bloom,SB,英文,Oceania,1547,0.86,Nova10,Silas Ortega,Australia,22,Rifler,0.99
Steel Bloom,SB,英文,Oceania,1547,0.86,Onyx10,Theo Sawyer,Sweden,23,Support,0.96
Final Chapter,FC,英文,Europe,1633,0.48,Pulse10,Alden Archer,United States,29,IGL,1.10
Final Chapter,FC,英文,Europe,1633,0.48,Quest10,Blake Dalton,Canada,23,AWPer,1.10
Final Chapter,FC,英文,Europe,1633,0.48,Rift10,Caleb Griffin,United Kingdom,26,Entry,1.19
Final Chapter,FC,英文,Europe,1633,0.48,Shade10,Damon Jensen,Australia,28,Rifler,1.18
Final Chapter,FC,英文,Europe,1633,0.48,Trace10,Elias Mercer,Sweden,26,Support,1.07
Clear Intent,CI,英文,Americas,1576,0.54,Vex10,Felix Pierce,United States,18,IGL,1.16
Clear Intent,CI,英文,Americas,1576,0.54,Warden10,Gavin Turner,Canada,19,AWPer,0.93
Clear Intent,CI,英文,Americas,1576,0.54,Xeno10,Hayden Bennett,United Kingdom,22,Entry,0.97
Clear Intent,CI,英文,Americas,1576,0.54,Yield10,Isaac Ellis,Australia,22,Rifler,1.00
Clear Intent,CI,英文,Americas,1576,0.54,Zenith10,Jonah Hayes,Sweden,18,Support,1.14
